Date	Hours	FI
01-02-2014	17-18	47.39
01-02-2014	18-19	42.34
01-02-2014	19-20	33.69
01-02-2014	20-21	33.94
01-02-2014	21-22	36.06
01-02-2014	22-23	34.85
01-02-2014	23-00	32.51
02-02-2014	00-01	29.78
02-02-2014	01-02	29.04
02-02-2014	02-03	28.2
02-02-2014	03-04	27.58
02-02-2014	04-05	28.43
02-02-2014	05-06	31.31
02-02-2014	06-07	28.91
02-02-2014	07-08	30.61
02-02-2014	08-09	30.62
02-02-2014	09-10	30.52
02-02-2014	10-11	31.26
02-02-2014	11-12	31.51
02-02-2014	12-13	31.72
02-02-2014	13-14	31.08
02-02-2014	14-15	33.49
02-02-2014	15-16	36.19
02-02-2014	16-17	40.59
02-02-2014	17-18	38.22
02-02-2014	18-19	37.97
02-02-2014	19-20	33.8
02-02-2014	20-21	31.84
02-02-2014	21-22	33.57
02-02-2014	22-23	32.69
02-02-2014	23-00	30.38
03-02-2014	00-01	30.3
03-02-2014	01-02	30.16
03-02-2014	02-03	30
03-02-2014	03-04	30.38
03-02-2014	04-05	31.46
03-02-2014	05-06	38.2
03-02-2014	06-07	50
03-02-2014	07-08	55.01
03-02-2014	08-09	54.02
03-02-2014	09-10	44.99
03-02-2014	10-11	44.99
03-02-2014	11-12	37.99
03-02-2014	12-13	38.2
03-02-2014	13-14	36.16
03-02-2014	14-15	42.98
03-02-2014	15-16	45.42
03-02-2014	16-17	54.08
03-02-2014	17-18	49.97
03-02-2014	18-19	39.07
03-02-2014	19-20	36.18
03-02-2014	20-21	32.39
03-02-2014	21-22	32.79
03-02-2014	22-23	31.3
03-02-2014	23-00	29.87
04-02-2014	00-01	29.59
04-02-2014	01-02	29.44
04-02-2014	02-03	28.42
04-02-2014	03-04	28.88
04-02-2014	04-05	30.62
04-02-2014	05-06	38.18
04-02-2014	06-07	45.42
04-02-2014	07-08	47.42
04-02-2014	08-09	44.95
04-02-2014	09-10	42.62
04-02-2014	10-11	44.97
04-02-2014	11-12	36.94
04-02-2014	12-13	34.64
04-02-2014	13-14	37.34
04-02-2014	14-15	39.03
04-02-2014	15-16	43.15
04-02-2014	16-17	46.94
04-02-2014	17-18	45.45
04-02-2014	18-19	38.76
04-02-2014	19-20	34
04-02-2014	20-21	32.51
04-02-2014	21-22	32.04
04-02-2014	22-23	31.58
04-02-2014	23-00	31.3
05-02-2014	00-01	30.53
05-02-2014	01-02	29.98
05-02-2014	02-03	28.99
05-02-2014	03-04	27.52
05-02-2014	04-05	31
05-02-2014	05-06	38.19
05-02-2014	06-07	45.48
05-02-2014	07-08	49.92
05-02-2014	08-09	45.71
05-02-2014	09-10	45.48
05-02-2014	10-11	46.52
05-02-2014	11-12	42.94
05-02-2014	12-13	42.34
05-02-2014	13-14	39.86
05-02-2014	14-15	41.66
05-02-2014	15-16	45.41
05-02-2014	16-17	50.54
05-02-2014	17-18	50.3
05-02-2014	18-19	44.94
05-02-2014	19-20	39.39
05-02-2014	20-21	34.11
05-02-2014	21-22	32.24
05-02-2014	22-23	31.06
05-02-2014	23-00	29.58
06-02-2014	00-01	28.36
06-02-2014	01-02	28.22
06-02-2014	02-03	28.18
06-02-2014	03-04	28.27
06-02-2014	04-05	30.66
06-02-2014	05-06	38.12
06-02-2014	06-07	43.93
06-02-2014	07-08	44.86
06-02-2014	08-09	43.04
06-02-2014	09-10	42.99
06-02-2014	10-11	42.9
06-02-2014	11-12	38.28
06-02-2014	12-13	39.04
06-02-2014	13-14	38.16
06-02-2014	14-15	38.16
06-02-2014	15-16	42.93
06-02-2014	16-17	47.04
06-02-2014	17-18	49.76
06-02-2014	18-19	40.98
06-02-2014	19-20	40.66
06-02-2014	20-21	34.62
06-02-2014	21-22	32.69
06-02-2014	22-23	30.82
06-02-2014	23-00	28.5
07-02-2014	00-01	27.7
07-02-2014	01-02	27.35
07-02-2014	02-03	27
07-02-2014	03-04	27.47
07-02-2014	04-05	30.62
07-02-2014	05-06	38.15
07-02-2014	06-07	47.81
07-02-2014	07-08	46.37
07-02-2014	08-09	47.84
07-02-2014	09-10	46.48
07-02-2014	10-11	43.54
07-02-2014	11-12	39.45
07-02-2014	12-13	37.62
07-02-2014	13-14	35.62
07-02-2014	14-15	36.92
07-02-2014	15-16	40.1
07-02-2014	16-17	45.59
07-02-2014	17-18	48.04
07-02-2014	18-19	41.93
07-02-2014	19-20	35.94
07-02-2014	20-21	32.76
07-02-2014	21-22	30.65
07-02-2014	22-23	28.99
07-02-2014	23-00	27.58
08-02-2014	00-01	28.75
08-02-2014	01-02	28.4
08-02-2014	02-03	28.01
08-02-2014	03-04	27.3
08-02-2014	04-05	27.09
08-02-2014	05-06	29.94
08-02-2014	06-07	30.08
08-02-2014	07-08	32.14
08-02-2014	08-09	32.71
08-02-2014	09-10	33.41
08-02-2014	10-11	33.02
08-02-2014	11-12	31.09
08-02-2014	12-13	31.07
08-02-2014	13-14	31.1
08-02-2014	14-15	32.45
08-02-2014	15-16	34.66
08-02-2014	16-17	41.58
08-02-2014	17-18	35.65
08-02-2014	18-19	31.49
08-02-2014	19-20	31.09
